investDate,participant,name,latestPhase,industry,brief,investor_id,amount,phase,kr_group_id,amountUnit,id
,,恋爱说,NONE,,女性情感社交APP,20075,,,150974,,176
2012-06-01 00:00:00,"创新谷,真格基金",超级课程表,B,SOFTWARE,大学生课程表及社交应用,20075,,ANGEL,4592,CNY,177
2013-12-01 00:00:00,"红杉资本,英诺天使基金,创新谷",礼物说,B,E_COMMERCE,礼物攻略和导购应用平台,20075,150,ANGEL,29936,CNY,178
2013-01-01 00:00:00,创新谷,大家投,ANGEL,FINANCE,股权众筹平台,20075,数十万,ANGEL,19720,CNY,179
2013-08-01 00:00:00,"险峰华兴,创新谷",聚会玩,A,SOCIAL_NETWORK,聚会社交平台,20075,百万,ANGEL,11957,USD,180
,,足球大师,NONE,,中国领先的足球手游开发商,20075,,,150966,,181
,,闪聘,NONE,,中国领先的蓝领招聘移动平台,20075,,,150967,,182
,,奇艺果,A,,服装在线定制T恤,20075,,,148613,,183
,,师傅邦,NONE,,中国最大的师傅上门服务创业平台,20075,,,150972,,184
2014-03-01 00:00:00,创新谷,兼职猫,A,SERVICE_INDUSTRIES,移动兼职招聘平台,20075,100,ANGEL,22176,CNY,185
2014-08-01 00:00:00,"赛富投资基金,杨珖",楼楼,ANGEL,SOCIAL_NETWORK,基于生活场景内的半熟人社交,20068,400,ANGEL,139690,CNY,186
2015-07-01 00:00:00,,Vinci智能头机,NONE,INTELLIGENT_HARDWARE,融合了智能音乐播放器的无线大耳机,20079,,PRE_A,139489,USD,187
2014-12-01 00:00:00,,TI,ANGEL,EDUCATION_TRAINING,Ti全球首家纹身门户平台,20079,,ANGEL,149606,USD,188
