investDate,name,company_url,investor_id,amount,phase,id
2011年1月,鼎开互联,http://itjuzi.com/company/2016,10520,500万,种子天使,277
2010年12月,亿思创世Estrongs,http://itjuzi.com/company/1816,10520,数百万人民币,种子天使,278
2010年1月,安全管家,http://itjuzi.com/company/5203,10520,数百万人民币,种子天使,279
2008年6月,天天动听,http://itjuzi.com/company/4555,10520,数百万人民币,种子天使,280
2013年1月,铜板街,http://itjuzi.com/company/1894,10521,数百万人民币,种子天使,281
2013年1月,上海方寸51Pocket,http://itjuzi.com/company/1945,10523,未透露人民币,A轮,282
2012年5月,我有啦,http://itjuzi.com/company/5739,10523,数百万人民币,种子天使,283
2013年10月,CSDN,http://itjuzi.com/company/5753,10524,数千万美元,A轮,284
2015年6月,0hiCN猿团-9Y教育,http://itjuzi.com/company/25619,10527,450万,种子天使,285
2014年3月,OKcoin比特币,http://itjuzi.com/company/5833,10527,1000万,A轮,286
2014年1月,数字天堂Dcloud HBuilder,http://itjuzi.com/company/10959,10527,数百万人民币,种子天使,287
2013年5月,IT桔子,http://itjuzi.com/company/666,10527,150万,种子天使,288
2013年1月,PingWest,http://itjuzi.com/company/4955,10527,数百万人民币,种子天使,289
2013年9月,上海都玩网络,http://itjuzi.com/company/4494,10528,27720万,收购,290
2013年8月,上海慕和网络,http://itjuzi.com/company/237,10528,31040万,收购,291
2013年9月,36氪36KR,http://itjuzi.com/company/1786,10529,500万,B轮,292
2012年1月,课程格子,http://itjuzi.com/company/1641,10529,数百万美元,A轮,293
2012年1月,光音网络Goyoo,http://itjuzi.com/company/4772,10529,数百万美元,A轮,294
2011年12月,OrderWithMe,http://itjuzi.com/company/4764,10529,300万,A轮,295
2011年1月,大谷打工网,http://itjuzi.com/company/4765,10529,数千万美元,A轮,296
2010年4月,北京摩游世纪,http://itjuzi.com/company/4767,10529,200万,A轮,297
2010年4月,北京摩卡世界,http://itjuzi.com/company/4766,10529,200万,A轮,298
2009年10月,热酷Rekoo,http://itjuzi.com/company/1528,10529,150万,A轮,299
2013年9月,广东原创动力,http://itjuzi.com/company/4850,10530,53600万,收购,300
2013年5月,小伴龙,http://itjuzi.com/company/21258,10530,未透露人民币,种子天使,301
2014年9月,仟寻MoSeeker,http://itjuzi.com/company/14012,10537,数千万人民币,种子天使,302
2014年8月,约拍,http://itjuzi.com/company/9371,10537,300万,种子天使,303
2014年6月,调果师,http://itjuzi.com/company/12650,10537,300万,种子天使,304
2013年11月,360基因体检,http://itjuzi.com/company/6397,10537,数百万人民币,种子天使,305
2013年10月,颗豆互动,http://itjuzi.com/company/9634,10537,数百万人民币,种子天使,306
2013年6月,ViewShare看山科技,http://itjuzi.com/company/8813,10537,数百万人民币,种子天使,307
2013年1月,PingWest,http://itjuzi.com/company/4955,10537,数百万人民币,种子天使,308
2012年4月,517旅行,http://itjuzi.com/company/1700,10537,数百万人民币,种子天使,309
2012年4月,517旅行,http://itjuzi.com/company/1700,10538,数百万人民币,种子天使,310
2011年8月,米折网,http://itjuzi.com/company/27,10541,数百万人民币,种子天使,311
2010年1月,NALA娜拉,http://itjuzi.com/company/3953,10541,500万,种子天使,312
2010年1月,金名网,http://itjuzi.com/company/7030,10541,数百万人民币,种子天使,313
2013年1月,仙变,http://itjuzi.com/company/1356,10544,数百万人民币,种子天使,314
2012年8月,上海顽皮网络,http://itjuzi.com/company/6962,10544,50万,种子天使,315
2005年4月,晶方科技,http://itjuzi.com/company/8849,10546,数千万美元,A轮,316
2013年3月,去哪儿,http://itjuzi.com/company/5141,10547,5700万,F轮-PreIPO,317
2011年4月,京东,http://itjuzi.com/company/8676,10547,150000万,C轮,318
2012年10月,e家洁,http://itjuzi.com/company/1240,10548,未透露人民币,种子天使,319
