startDate,endDate,name,investor_id,position,id
,,阿里巴巴 ,10192,,348
,, 中国万网,10192,,349
,,北京众海投资,10193,创始合伙人,350
,,微软 ,10193,,351
,, 阿里巴巴 ,10193,,352
,, Oracle甲骨文,10193,,353
,,北京众海投资,10194,创始合伙人,354
,,微软 ,10194,,355
,, 阿里巴巴 ,10194,,356
,, Oracle甲骨文 ,10194,,357
,, 强生,10194,,358
,,乐游资本,10195,合伙人,359
,,KTB投资集团,10196,副总裁,360
,,正源资本/正源策略,10197,执行董事,361
,,国采科技股份有限公司,10198,董事长,362
,,新进创投,10199,合伙人,363
,,新进创投,10200,硅谷合伙人,364
,,新进创投,10201,投资合伙人,365
,,新进创投,10202,投资经理,366
,,紫辉创投,10203,合伙人,367
,,紫辉创投,10204,董事,368
,,紫辉创投,10205,董事,369
,,紫辉创投,10206,投资经理,370
,,百奥财富,10207,董事长兼创始合伙人,371
,,德沃创业/德沃基金,10208,创始人,372
,,IBM,10208,,373
,,光信资本,10209,创始合伙人,374
,,苏州凯风创投,10210,管理合伙人,375
,,苏州凯风创投,10211,合伙人,376
,,正和磁系资本,10212,董事长,377
,,中国企业家,10212,,378
,,正和磁系资本,10213,创始合伙人兼CEO,379
,,学大教育,10214,CEO,380
,,学大教育,10214,,381
,,21世纪经济报道 ,10215,,382
,, 清科,10215,,383
,,乐游资本,10216,合伙人,384
,,新浪 ,10216,,385
,, 中国移动,10216,,386
,,华创盛景投资/盛景网联,10217,创始合伙人,387
,,HP惠普 ,10217,,388
,, 北大方正 ,10217,,389
,, 霍尼韦尔,10217,,390
,,陶石资本,10218,创始合伙人,391
,,盛大资本,10218,副总裁(已离职),392
,,IBM ,10218,,393
,, 盛大,10218,,394
,,安芙兰创投,10219,董事长,395
,,复星昆仲资本,10220,管理合伙人,396
,,麦肯锡 ,10220,,397
,, 学大教育,10220,,398
,,复星集团,10221,董事长,399
,,复星集团,10222,CEO,400
,,复星昆仲资本,10223,合伙人,401
,,腾讯,10223,,402
,,澳银资本,10224,创始合伙人及董事长,403
,,澳银资本,10225,创始合伙人及总裁,404
,,华溢资本,10226,董事总经理,405
,,KTB投资集团,10227,合伙人,406
,,博派资本,10228,创始管理合伙人,407
,,网易 ,10228,,408
,, IDG,10228,,409
,,学而思/好未来,10229,投资总监,410
,,学而思教育,10229,,411
,,学而思/好未来,10230,高级投资经理,412
,,未来工场,10230,高级投资经理,413
,,学而思教育,10230,,414
,,中国平安/平安创新投资基金,10231,副总裁,415
,,中国平安 ,10231,,416
,, 平安资产,10231,,417
,,中国平安/平安创新投资基金,10232,资深投资经理,418
,,KPCB凯鹏华盈,10232,,419
,,中国平安/平安创新投资基金,10233,投资经理,420
,,三胞集团/宏图高科,10234,董事长,421
,,国泰创投,10235,总经理,422
,,京北投资-京北天使,10236,创始合伙人,423
,,招商局,10237,,424
,,湖畔山南资本,10238,副总裁,425
,,阿里巴巴 ,10238,,426
,, 毕马威KPMG,10238,,427
,,IFC国际金融公司,10239,执行副总裁兼首席执行官,428
,,高盛 ,10239,,429
,, 摩根斯坦利,10239,,430
,,青山资本-华璟海纳资本,10240,创始人,431
,,艾瑞咨询集团,10241,创始人,432
,,起源资本,10242,创始合伙人,433
,,明势资本,10243,合伙人,434
,,中国远镜连锁成长基金,10244,投资副总监,435
,,九易资本,10245,创始人,436
,,雅虎 ,10245,,437
,, eBay易趣,10245,,438
,,力鼎资本,10246,董事长,439
,,国泰君安,10246,,440
,,力鼎资本,10247,CEO,441
,,力鼎资本,10248,首席投资官,442
,,国泰君安,10248,,443
,,力鼎资本,10249,高级副总裁,444
,,力鼎资本,10250,高级副总裁,445
,,力鼎资本,10251,研究主管,446
,,华为,10251,,447
,,CA创投/CyberAgent（国内）,10252,管理合伙人,448
,,CA创投/CyberAgent（国内）,10253,投资经理,449
,,艾瑞,10253,,450
,,红石诚金,10254,创始合伙人,451
,,腾讯 ,10254,,452
,, 华为,10254,,453
,,PartnerAngel伙伴创投戴志康,10255,创始及执行合伙人,454
,,腾讯 ,10255,,455
,, 康盛创想,10255,,456
,,PartnerAngel伙伴创投戴志康,10256,CEO,457
,,康盛创想,10256,,458
,,PartnerAngel伙伴创投戴志康,10257,投资副总裁,459
,,腾讯 ,10257,,460
,, 搜狐,10257,,461
,,PartnerAngel伙伴创投戴志康,10258,投资副总裁,462
,,奇虎360 ,10258,,463
,, 清科 ,10258,,464
,, 康盛创想,10258,,465
,,源政投资杨向阳,10259,创始人,466
,,杭州盈动投资Incapital,10260,合伙人,467
,,联想乐基金,10261,董事总经理,468
,,联想,10261,,469
,,学而思/好未来,10262,投资总监,470
,,学而思教育,10262,,471
,,易车网,10263,创始人,472
,,易车网,10263,,473
,,赛富基金/赛富亚洲基金SAIF,10264,合伙人,474
,,汇丰,10264,,475
,,以太资本,10265,创始人,476
,,阿里巴巴 ,10265,,477
,, 华兴资本,10265,,478
,,以太资本,10266,联合创始人,479
,,安永 ,10266,,480
,, 华兴资本,10266,,481
,,纪源资本GGV,10267,投资经理,482
,,祥峰投资Vertex,10267,投资总监(已离职),483
,,腾讯 ,10267,,484
,, 祥峰投资,10267,,485
,,天使投资人王刚,10268,天使投资人,486
,,阿里巴巴,10268,,487
,,中国远镜连锁成长基金,10269,投资总监,488
,,无名创投,10270,董事长,489
,,无名创投,10271,高级投资经理,490
,,天使投资人吴泳铭,10272,创始人,491
,,阿里巴巴,10272,,492
,,长江国弘投资,10273,首席合伙人,493
,,中国农业银行,10273,,494
,,KTB投资集团,10274,副总裁,495
,,KTB投资集团,10275,主管合伙人,496
,,链家地产,10276,董事长,497
,,光华弘人资本,10277,创始合伙人,498
,,昆仑万维,10278,创始人,499
,,人人 ,10278,,500
,, 千橡,10278,,501
,,掌趣创享基金,10279,合伙人,502
,,腾讯,10279,,503
,,歌石投资,10280,管理合伙人,504
,,分众传媒,10281,创始人,505
,,分众传媒,10281,,506
,,挚盈资本,10282,董事长,507
,,方天企业发展集团,10282,,508
,,挚盈资本,10283,投资人,509
,,尚心资本Shining,10284,Capital Management 创始人,510
,,美国银行 ,10284,,511
,, 高盛 ,10284,,512
,, 摩根斯坦利 ,10284,,513
,, 国美,10284,,514
,,澜哲资本,10285,创始合伙人,515
,,西门子,10285,,516
,,风云天使基金,10286,创始人,517
,,21世纪经济报道 ,10286,,518
,, 长虹集团,10286,,519
,,风云天使基金,10287,投资经理,520
,,零一创投,10288,分析师,521
,,未来工场,10289,高级投资经理,522
,,学而思教育,10289,,523
,,盈信投资集团,10290,董事长,524
,,国泰君安,10290,,525
,,琢石投资,10291,执行副总监,526
,,琢石投资,10292,高级项目经理,527
,,信天创投,10293,高级投资经理,528
,,腾讯 ,10293,,529
,, 高德,10293,,530
,,唯猎资本Will,10294,Hunting Capital 合伙人,531
,,春晓资本,10295,投资经理,532
,,华为,10295,,533
,,红石诚金,10296,董事长,534
,,阿尔卡特朗讯 ,10296,,535
,, AT&T;,10296,,536
,,衡锐资本,10297,创始人,537
,,法国巴黎银行BNP ,10297,,538
,, UBS瑞银,10297,,539
,,深圳红十三投资,10298,合伙人,540
,,深圳红十三投资,10299,合伙人,541
,,深圳红十三投资,10300,合伙人,542
,,九盈投资,10301,创始合伙人,543
,,通用电气,10301,,544
,,CA创投/CyberAgent（国内）,10302,投资经理,545
,,恺英网络,10303,CEO,546
,,洪泰基金,10304,创始合伙人,547
,,住友商事亚洲资本,10305,副总裁,548
,,住友商事亚洲资本,10306,副总裁,549
,,住友商事亚洲资本,10307,副总裁,550
,,住友商事亚洲资本,10308,助理副总裁,551
,,住友商事亚洲资本,10309,助理投资经理,552
,,瀚霖资本,10310,合伙人,553
,,易一天使,10311,董事长及CEO,554
,,小马蜂创投,10312,创始合伙人,555
,,云启创投,10313,创始合伙人,556
,,纪源资本GGV,10313,合伙人(已离职),557
,,源码资本,10314,副总裁,558
,,源码资本,10315,投资经理,559
,,易凯资本,10315,,560
,,源码资本,10316,投资经理,561
,,汉能投资,10316,,562
,,源码资本,10317,投资经理,563
,,华兴资本,10317,,564
,,易一天使,10318,COO,565
,,长友基金,10319,创始合伙人,566
,,58同城,10320,创始人,567
,,58同城,10320,,568
,,暴龙投资,10321,管理合伙人,569
,,Cybernaut赛伯乐投资,10322,创始人,570
,,网迅WebEx,10322,,571
,,华盛基金,10323,创始合伙人,572
,,龙腾资本,10324,创始人和管理合伙人,573
,,摩根大通,10324,,574
,,龙腾资本,10325,合伙人,575
,,国美,10325,,576
,,龙腾资本,10326,合火人,577
,,中信,10326,,578
,,龙腾资本,10327,投资总监,579
,,龙腾资本,10328,投资经理（已离职）,580
,,智威汤逊 ,10328,,581
,, 麦肯锡,10328,,582
,,松树资本,10329,CEO,583
,,新浪,10329,,584
,,伯藜创投,10330,管理合伙人,585
,,青云创投,10331,创始管理合伙人,586
,,安思晟投资ACEON,10332,董事总经理,587
,,H,10333,Capital 创始人,588
,,住友商事亚洲资本,10334,董事长,589
,,住友商事亚洲资本,10335,董事总经理,590
,,住友商事亚洲资本,10336,董事,591
,,高榕资本Banyan,10337,Fund 副总裁,592
,,IDG,10337,,593
,,坚果资本,10338,创始人,594
,,中国远镜连锁成长基金,10339,创始合伙人,595
,,维思资本,10340,创始管理合伙人,596
,,维思资本,10341,管理合伙人,597
,,极客帮创业基金,10342,合伙人,598
,,北大方正 ,10342,,599
,, CSDN,10342,,600
,,极客帮创业基金,10343,合伙人,601
,,腾讯,10343,,602
,,志成资本,10344,创始合伙人,603
,,德迅投资,10344,投资总监(已离职),604
,,志成资本,10345,创始合伙人,605
,,知卓资本,10346,创始人,606
,,微软 ,10346,,607
,, PPTV,10346,,608
,,弘晖资本,10347,创始合伙人,609
,,软银中国/软银集团,10347,合伙人(已离职),610
,,软银Softbank,10347,,611
,,弘晖资本,10348,创始合伙人,612
,,景林投资/景林资产,10348,董事总经理(已离职),613
,,无穹创投,10349,合伙人,614
,,SIG海纳亚洲,10350,合伙人,615
,,欢聚时代/YY多玩,10351,创始人,616
,,网易 ,10351,,617
,, 多玩YY,10351,,618
,,原子创投,10352,投资经理,619
,,泽厚资本,10353,合伙人,620
,,原子创投,10354,合伙人,621
,,263网络通信,10355,董事长,622
,,263网络通信,10356,总裁,623
,,北大方正,10356,,624
,,263网络通信,10357,副总裁,625
,,北大方正,10357,,626
,,暾澜天使基金,10358,合伙人,627
,,暾澜天使基金,10358,,628
,,华人文化产业基金,10359,董事长,629
,,华人文化产业基金,10360,董事总经理,630
,,慧聪网,10361,创始人,631
,,慧聪网,10361,,632
,,高原资本,10362,执行董事,633
,,凯旋创投,10362,副总裁(已离职),634
,,百度 ,10362,,635
,, 汉能投资 ,10362,,636
,, 凯旋创投 ,10362,,637
,, 计算机世界,10362,,638
,,翰潭投资,10363,合伙人,639
,,微软 ,10363,,640
,, 浦发银行,10363,,641
,,浩然资本,10364,董事长,642
,,微玺投资,10365,创始合伙人,643
,,元素资本,10366,创始合伙人,644
,,元素资本,10367,创始合伙人,645
,,杭州盈动投资Incapital,10368,合伙人(已离职),646
,,迭代资本,10368,合伙人,647
,,网信金融,10369,首席风险官,648
,,力鼎资本,10370,高级副总裁,649
,,富士通,10370,,650
,,力鼎资本,10371,财富中心总经理,651
,,华夏基金,10371,,652
,,力鼎资本,10372,副总裁,653
,,Crystal,10373,Stream清流资本 副总裁,654
