id,name,position,brief,investStart,investCount,investNextPhase,investQuit,investPhases,investLimit,investPlan,focusIntustry,city
88,胡磊,蓝湖资本 • 合伙人,曾投资：去哪儿、美丽说、世纪互联等。,2007,20,18,,A 轮、B 轮,1000W - 10000W 人民币,10 个,互联网金融、社交、分享经济,北京、上海
89,王昊,成为资本 • 副总裁,曾投资：OneAPM，小鱼在家，极飞无人机，云之讯，蜻蜓FM，Sila nano等。,2012,7,7,,Pre-A 轮、A 轮、B 轮,1000W - 8000W 人民币,5 个,智能硬件、社区、撮合交易平台、SaaS、分享经济,上海
90,周晔,软银中国资本 • 执行董事,曾投资：好屋中国、学习宝、八爪鱼在线旅游、TalkingData、咕咚、易贷网等。,2011,9,4,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮、C 轮,500W - 150000W 人民币,5 个,B2B、撮合交易平台、O2O、工具应用/平台、技术创新,北京、上海、深圳、杭州
91,高亚捷,真顺投资 • 投资经理,曾投资：虾baby，闪电刷。,2015,2,1,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 1000W 人民币,6 个,金融、智能硬件、工具应用/平台、B2B、分享经济,北京、上海、广州、深圳、杭州
92,谷承文,晨兴创投 • 投资经理,曾投资：蜜桃、大黄蜂。,2010,5,2,,种子轮/天使轮、Pre-A 轮、A 轮,300W - 3000W 人民币,5 个,电商、消费升级、分享经济、O2O,北京、上海、广州、深圳
93,孙国昕,软银中国资本 • 高级投资经理,曾投资：苏利化学、泰坦科技、泰昌健康、易家科技。,2012,6,5,2,A 轮、B 轮,200W - 5000W 人民币,3 个,分享经济、产业互联网、撮合交易平台、达人/明星粉丝、生活方式,上海
94,曹曦,红杉资本中国 • 副总裁,曾投资：好贷、斗鱼、爱鲜峰、懂球帝、晶合思动。,2011,20,15,,Pre-A 轮、A 轮、B 轮,600W - 5000W 人民币,5 个,娱乐、社区、社交、O2O,北京、上海、深圳
95,刘旭伟,竞技世界 • 投资副总裁,曾投资：芯联达、九十九网络、美尔贝、甜心摇滚沙拉、楼下100等。,2011,7,3,,Pre-A 轮、A 轮、B 轮,200W - 5000W 人民币,8 个,O2O、医疗健康、女性、消费互联网、互联网金融,北京
96,吴莹,红杉资本中国 • 投资经理,曾投资：触宝、更美、TT快车等。,2010,10,10,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,100W - 40000W 人民币,未确定,汽车、O2O、B2B,北京、上海
97,杨玥,光信资本 • 投资经理,曾投资：明星衣橱，一亩田。,2012,10,9,,Pre-A 轮、A 轮、B 轮,500W - 10000W 人民币,6 个,电商、O2O、金融、教育,北京、上海
98,李杨,达晨创投 • 投资总监,冬日中医联合创始人及天使。曾投资：Yoho！有货、南讯客道Crm、好慷家政在线、他趣等。,2011,5,2,1,A 轮、B 轮,1000W - 10000W 人民币,5 个,消费互联网、O2O、电商平台、SaaS,北京、上海、厦门
