phase,investor_id,brief,name,id
已完成 A 轮融资,31,"SaaS运营商,提供免费、简单、易用的进销存、ERP软件、连锁管理软件。",百草科技,76
已完成 A 轮融资,31,云计算时代安全的虚拟化产品及解决方案提供商，产品有VirNOS虚拟网络安全管理系统、远为虚拟安全桌面vSec Desktop等。,远为软件,77
已完成天使轮融资,32,国内第一款针对创业企业费用管理的轻量级应用解决方案，通过微信、SAAS后台以及APP轻松搞定早期企业的报销及现金流管理问题。,闪电报销,78
已完成 A 轮融资,32,深夜美食外卖平台，配送时间为晚上9至凌晨5点。,拼豆夜宵,79
已完成天使轮融资,32,简洁的资产管理APP 。,财鱼管家,80
已完成 A 轮融资,32,面向女性同性恋的移动社交网络。,The L,81
已完成天使轮融资,33,格科电子有限公司创立于2003年，是中国领先的无晶圆厂图像传感器设计公司，目标瞄准全球移动设备及消费电子市场。,格科微电子（上海）有限公司,82
已完成天使轮融资,33, 上海晶丰明源半导体有限公司是一家从事电源管理芯片设计和销售的公司，公司主要产品是大功率LED驱动芯片，为从事节能环保的LED绿色照明客户提供高质量和高性价比的LED驱动芯片和系统解决方案。,上海晶丰明源半导体有限公司,83
已完成天使轮融资,33,全球领先的蓝宝石材料公司。,东莞精研粉体有限公司,84
已完成天使轮融资,33,上海汉枫电子科技有限公司成立于2009年12月，是专业从事嵌入式无线通讯领域设计开发、生产、销售和完整物联解决方案（云服务和智能终端应用程序）为一体的高科技公司。,上海汉枫电子有限公司,85
已完成 A 轮融资,34,8868交易平台是一个手机游戏物品交易平台，隶属于广州聚好玩信息科技有限公司。,8868,86
已完成 B 轮融资,34,蝴蝶互动是一家专注于移动互联网社区及手机游戏研发和运营的专业型公司。,蝴蝶互动,87
已完成 C 轮融资,34,上海七牛信息致力于提供最适合开发者的数据在线托管、传输加速以及云端处理的服务。,七牛云存储,88
已完成 A 轮融资,34,游戏直播,玖果吧,89
已完成天使轮融资,35,炊烟小厨是一个网上订餐平台。,炊烟小厨,90
已被并购,36,由网龙公司推出的手机移动端应用管理工具，2013年该公司被百度全资收购。,91手机助手,91
已上市,36,网络视频平台，2012年与优酷网正式合并。,土豆网,92
已上市,36,久帮数码公司推出的无线互联网门户平台，该公司已于2014年在纽交所上市。,3G门户,93
已完成天使轮融资,36,莉莉丝游戏公司推出的动作卡牌手游。,刀塔传奇,94
已完成 B 轮融资,37,脸识别云计算平台，为开发者提供人脸识别接口，北京旷视科技有限公司旗下。,Face++,95
已完成 B 轮融资,37,智能语音技术服务商，旗下有思必驰语音云等，将语音技术用于教育培训、移动互联、呼叫中心等产业。,思必驰,96
已完成 A 轮融资,37,一家支持“亲身试穿”的线上试衣间，通过真实人物3D建模、1:1且多角度还原试穿效果、多尺码试穿对比和专业推荐，为用户提供导购服务，隶属于上海试衣间信息科技有限公司。,好买衣,97
已完成 A 轮融资,37,北京无限点乐科技有限公司推出的智能手机广告平台。,点乐,98
已完成天使轮融资,37,主打O2O模式的汽车快修服务公司，旗下有有壹手快修、钣喷快美王等品牌，隶属于北京有壹手汽车科技有限公司。,有壹手,99
已完成 C 轮融资,38,女性垂直电商平台。,蘑菇街,100
已被并购,38,智能手机广告平台，旗下拥有自主研发的Ad network和移动DSP平台“多盟･必得”。该公司于2015年6月被A股上市公司蓝色光标收购。,多盟,101
Pre-IPO,38,多功能、个性化多标签浏览器。它能减少浏览器对系统资源的占用率，全新傲游云浏览器版，推出了核心产品功能云推送、云标签、云同步、云下载和云分享。,傲游浏览器,102
已完成 B 轮融资,38,一站式海外购物服务平台，以跨国电子商务和海淘社交购物平台为核心，为消费者提供一个及时了解海外时尚打折信息和改善国人购物体验和消费水平的无国界社交购物平台。,么么嗖,103
已完成 B 轮融资,38,国内首家对结果负责的招聘服务交易平台，解决了传统猎头无法跨行业、跨区域、规模化作业的困境，同时也解决了网络招聘无法涉足中高端职位的瓶颈。服务客户包括苹果、亚马逊、腾讯、万科、罗氏等全球知名企业。,猎上网,104
已完成 A 轮融资,39,树熊网络服务于数万商家、为数亿消费者提供免费商用Wi-Fi以及基于Wi-Fi的各项互联网服务。,树熊网络,105
已完成 A 轮融资,39,橙牛违章管家是一个手机上的汽车违章查询、处理工具，可以为300多个城市的车主提供便捷的违章查询和处理服务。杭州达则科技有限公司旗下产品。,橙牛违章管家,106
已完成天使轮融资,39,Bong是一个软硬件结合的穿戴式设备服务健康手环品牌，可以通过内置传感器记录你完整的一天，如运动情况、睡眠情况等。杭州攻壳科技有限公司旗下产品。,Bong,107
