investDate,participant,name,latestPhase,industry,brief,investor_id,kr_id,amount,phase,kr_group_id,amountUnit,id
1433088000000,,Robin8,NONE,SOFTWARE,运用人工智能，机器学习和大数据技术深度了解记者和意见领袖帮你,733,5767,25,ANGEL,148643,USD,1009
1430409600000,凯洲资本,Burpple（饱贝食记）,A,CONSUMER_LIFESTYLE,美食分享应用软件,733,5767,70,A,8453,USD,1010
1417363200000,凯洲资本,人人养宠,ANGEL,OTHER,分享经济商业模式宠物版Airbnb,733,5767,300,ANGEL,134722,CNY,1011
1370016000000,凯洲资本,1stavailable,A,OTHER,南太平洋地区最大的医疗预约媒体平台,733,5767,100,A,134724,USD,1012
1420041600000,凯洲资本,Travelog,PRE_A,OTHER,旅游咨询一站式平台,733,5767,50,PRE_A,134725,USD,1013
1427817600000,创智空间,PhdTree,ANGEL,OTHER,学术界的LinkedIn,729,6525,,ANGEL,159029,USD,1014
1438358400000,创智空间,ai search,ANGEL,SOFTWARE,我们是做多引擎所搜平台为了更好的创造用户体验,729,6525,,ANGEL,143259,USD,1015
1427817600000,,刘姥姥,NONE,E_COMMERCE,刘姥姥是一个基于场景的时尚导购平台。,729,6525,135,ANGEL,158739,CNY,1016
1427817600000,,1KE,ANGEL,SOCIAL_NETWORK,1KE是首个国际互联网技能学习社区,729,6525,,ANGEL,143837,USD,1017
1427817600000,,众安在线,A,FINANCE,基于数据的互联网保险公司,728,6538,100000,,30210,USD,1018
,,微微,NONE,SOFTWARE,通信都免费。,728,6538,,,25237,,1019
,,微微拼车,A,,领导的拼车软件,728,6538,,,132544,,1020
1433088000000,,岂安科技,NONE,SERVICE_INDUSTRIES,始终致力于为企业提供账户、支付、业务类安全风险控制解决方案,727,6926,50,ANGEL,135451,CNY,1021
1433088000000,,干净么,NONE,SOFTWARE,干净么是一款查看餐厅、学校餐饮卫生评级及曝光的餐桌保卫神器。,727,6926,50,ANGEL,138798,CNY,1022
1433088000000,,香蕉,NONE,CONSUMER_LIFESTYLE,打造最专业的本地生活找人服务平台！,727,6926,35,ANGEL,149603,CNY,1023
1409500800000,高榕资本,趣运动,B,CULTURE_SPORTS_ART,场地与体育运动类移动app,731,5868,,A,138166,CNY,1024
1422720000000,"东方弘道,真格基金,高榕资本",芥末金融,ANGEL,FINANCE,服务小微企业的供应链金融平台,731,5868,,ANGEL,137520,USD,1025
1430409600000,好未来教育科技集团,高考派,ACQUIRED,EDUCATION_TRAINING,提供高考志愿填报咨询和辅导的工具,725,7056,,E,136944,CNY,1026
